NoOfChunksRetrieved,Name,Type,Query,Answer,Result,Correctness,RetrievedDocs
1,test_chunk_10__1-2668243-8,html,What district is Joseph Lecompte in office in?,"Joseph Lecompte is in office in Kentucky's 6th district. The table lists ""Kentucky 6"" under his entry, indicating his district.",Kentucky 6,TRUE,
1,test_chunk_10__1-2668264-22,html,What party does joel r. poinsett represent?,"According to the provided text, Joel R. Poinsett represents the Jackson Republican party. The table lists his party affiliation as ""Jackson Republican"" alongside his name and other details about his district.",Jackson Republican,TRUE,
1,test_chunk_10__1-2668264-22,html,What was the first elected year that featured incumbent andrew r. govan?,"Based on the provided text, Andrew R. Govan was first elected in 1822 (special).",1822,TRUE,
1,test_chunk_10__1-2668336-17,html,In what district is the incumbent Charles Fisher?,"Based on the provided text, Charles Fisher is the incumbent in North Carolina 10.",North Carolina 10,TRUE,
1,test_chunk_10__1-2668336-17,html,First elected in 1807 1817 in what district?,"Based on the provided text, the district where the incumbent was first elected in 1807 or 1817 is North Carolina 1. The incumbent in that district is Lemuel Sawyer.",North Carolina 1,TRUE,
1,test_chunk_10__1-2668336-17,html,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% is for what incumbent?,Charles Fisher (DR) 65.1% W. Jones (F) 34.9% are candidates for the incumbent in North Carolina 10.,Charles Fisher,FALSE,
1,test_chunk_10__1-2668336-17,html,"In district North Carolina 10, what are the candidates?","In North Carolina 10, the candidates are Charles Fisher (DR) and W. Jones (F). Charles Fisher received 65.1% of the vote, while W. Jones received 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,
1,test_chunk_10__1-2668336-17,html,Candiates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had what result?,"Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had the result of being re-elected. The text states that Charles Fisher (DR) received 65.1% and W. Jones (F) received 34.9% in North Carolina 10, and that Charles Fisher was re-elected.",	Re-elected,TRUE,
1,test_chunk_10__1-2668336-17,html,The district North Carolina 10 have what candidates?,"Based on the provided text, the candidates in North Carolina 10 are Charles Fisher (DR) and W. Jones (F). Charles Fisher received 65.1% of the vote, and W. Jones received 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,
1,test_chunk_10__1-26609690-1,html,What is the smallest top 10 figure?,"The smallest top 10 figure is 0. This figure appears in the years 2003, 2007, 2008, and 2011.",0,TRUE,
1,test_chunk_10__1-26609690-1,html,What is the earliest year on the chart?,"The earliest year on the chart is 2003. This is indicated in the first row of the table, which shows data for the year 2003.",2003,TRUE,
1,test_chunk_10__1-26609690-1,html,"Which team had $15,785 in winnings?","The team that had $15,785 in winnings is RB1 Motorsports. This information is found in the 2003 row of the table, where the ""Winnings"" column shows $15,785 and the ""Team(s)"" column shows ""RB1 Motorsports.""",RB1 Motorsports,TRUE,
1,test_chunk_10__1-26609690-1,html,How many positions are there for RB1 Motorsports?,"Based on the provided table, RB1 Motorsports appears for only one year: 2003. Therefore, there is only **one** position for RB1 Motorsports listed.",1,TRUE,
1,test_chunk_10__1-26609690-1,html,What is the highest number of wins?,"The highest number of wins is 0. While the driver participated in races from 2003 to 2011, they never achieved a win in any of those years. The ""Wins"" column consistently shows ""0"" for each year listed.",0,TRUE,
1,test_chunk_10__1-26631526-1,html,Name the release date xbox 360 for sea wolf,"I am sorry, but the text does not contain any information about a release date for a Xbox 360 game called Sea Wolf.","Mar.14,2010",FALSE,
1,test_chunk_10__1-2668243-20,html,What party was represented by incumbent Richard Coulter?,"According to the provided text, Richard Coulter represented the Jacksonian party.",Jacksonian,TRUE,
1,test_chunk_10__1-2668336-19,hard-coded,Who were the incumbent(s) in the election featuring  john murray (dr) 50.4% george denison (dr) 49.6% with a result of a retired democratic-republican hold?,"The text states that in Pennsylvania's 10th District, William Wilson, a Democratic-Republican first elected in 1814, retired. The result was a ""retired Democratic-Republican hold,"" meaning the Democratic-Republicans maintained control of the seat despite Wilson's retirement. Therefore, William Wilson was the incumbent.",William Wilson,TRUE,
1,test_chunk_10__1-2668336-19,hard-coded,Who were the incumbent(s) when the result was a retired democratic-republican hold and the first elected representative was in 1816>,"Based on the text, the following individuals were incumbents, first elected in 1816:

Alexander Ogle (8th District)
William P. Maclay (9th District)
David Marchand (11th District)
Christian Tarr (13th District)
Henry Baldwin (14th District)
",Alexander Ogle,FALSE,
1,test_chunk_10__1-2668336-19,hard-coded,Who were the candidates in the election where william wilson was the incumbent?,The provided text does not specify who William Wilson defeated to initially become the incumbent. It only mentions his retirement and the subsequent election between John Murray and George Denison to fill the vacant seat.,John Murray (DR) 50.4% George Denison (DR) 49.6%,TRUE,
1,test_chunk_10__1-2668352-14,hard-coded,Name the result for pennsylvania 8,William Piper was re-elected with 62.4% of the vote.,Re-selected,TRUE,
1,test_chunk_10__1-2668352-14,hard-coded,Name the result for 1810.,William Piper (in Pennsylvania’s 8th district) was first elected in 1810.,William Piper,TRUE,
1,test_chunk_10__1-2668352-14,hard-coded,Name the district for hugh glasgow,Hugh Glasgow was in Pennsylvania's 4th district.,Pennsylvania 4,TRUE,
1,test_chunk_10__1-2668352-14,hard-coded,Name the incumbent for lost re-election democratic-republican hold,Daniel Udree lost re-election., Daniel Udree,TRUE,
1,test_chunk_10__1-2668352-14,hard-coded,Name the district for first elected 1810,William Piper was first elected in Pennsylvania's 8th district in 1810., Pennsylvania 8,TRUE,
1,test_chunk_10__1-2668352-19,hard-coded,What party does James Pleasants belong to?,"According to the provided text, James Pleasants is a Democratic-Republican. He was first elected in Virginia's 17th district in 1811 and was re-elected.",Democratic-Republican party,TRUE,
1,test_chunk_10__1-2655016-9,hard-coded,"What is the series # on airdate September 21, 2002?","The series number on September 21, 2002, is 123",123,TRUE,
1,test_chunk_10__1-2655016-9,hard-coded,"what is the series number of the ""harry bladder special""?","The series number of the ""Harry Bladder Special"" is 131",131,TRUE,
1,test_chunk_10__1-26565917-2,hard-coded,what was the name of episode 5?,"Based on the data, episode 5 is titled ""Seven Seconds."" It was directed by John Gallagher and written by Andi Bushell, and it originally aired on October 24, 2007.",Seven Seconds,TRUE,
1,test_chunk_10__1-26565917-2,hard-coded,when did 14.55 people watch?,"14.55 million viewers watched during episode 48, titled ""Scared to Death."" This episode aired on October 10, 2007.","October 10, 2007",TRUE,
1,test_chunk_10__1-26593762-2,hard-coded,Who is the captain of Cardiff City?,Craig Bellamy,Craig Bellamy,TRUE,
1,test_chunk_10__1-26593762-2,hard-coded,How many kit makers are there for Louis Carey's team?,"One, Adidas",1,TRUE,
1,test_chunk_10__1-26593762-2,hard-coded,Who is the captain of Neil Warnock's team?,Adel Taarabt,Adel Taarabt,TRUE,
1,test_chunk_10__1-26593762-2,hard-coded,Who is the captain of Dave Jones' team?,Craig Bellamy,Craig Bellamy,TRUE,
1,test_chunk_10__1-26593762-2,hard-coded,Who is the chairman of Mark Robins team?,Patrick Cyrne,Patrick Cyrne,TRUE,
1,test_chunk_10__1-2668243-8,hard-coded,What was the result for Henry Daniel's race?,"According to the provided text, in Kentucky 1, Henry Daniel (Jacksonian party) was re-elected with 66.6% of the vote. His opponent, Micajah Harrison (Anti-Jacksonian party), received 33.4%.",Re-elected,TRUE,
1,test_chunk_10__1-2668243-8,hard-coded,When was Henry Daniel first elected?,"According to the provided text, Henry Daniel was first elected in 1827.",1827,TRUE,
1,test_chunk_10__1-2668243-8,hard-coded,How many first elected years are provided for Thomas P. Moore?,"The text states that Thomas P. Moore from the Jacksonian party was first elected in 1822. Therefore, only one first elected year is provided for Thomas P. Moore.",1,TRUE,
1,test_chunk_10__1-2668243-8,hard-coded,What district is Joseph Lecompte in office in?,"Joseph Lecompte is in office in Kentucky 6. The text states, ""In Kentucky 6, incumbent Joseph Lecompte from the Jacksonian party, first elected in 1824, was re-elected.""",Kentucky 6,TRUE,
1,test_chunk_10__1-2668264-22,hard-coded,What party does joel r. poinsett represent?,"According to the provided text, Joel R. Poinsett represents the Jackson Republican party.",Jackson Republican,TRUE,
1,test_chunk_10__1-2668264-22,hard-coded,What was the first elected year that featured incumbent andrew r. govan?,"According to the provided text, Andrew R. Govan was first elected in 1822 (special election).",1822,TRUE,
1,test_chunk_10__1-2668336-17,hard-coded,In what district is the incumbent Charles Fisher?,"Based on the provided text, the incumbent Charles Fisher is in North Carolina 10. He was first elected in 1819 (special election) and was re-elected.",North Carolina 10,TRUE,
1,test_chunk_10__1-2668336-17,hard-coded,First elected in 1807 1817 in what district?,"Based on the provided text, Lemuel Sawyer was first elected in districts 1 and 1817.",North Carolina 1,FALSE,
1,test_chunk_10__1-2668336-17,hard-coded,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% is for what incumbent?,"The candidates Charles Fisher (DR) 65.1% and W. Jones (F) 34.9% are for the incumbent Charles Fisher. The provided text states ""In North Carolina 10, incumbent Charles Fisher from the Democratic-Republican party... was re-elected. The candidates were Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%.""",Charles Fisher,TRUE,
1,test_chunk_10__1-2668336-17,hard-coded,"In district North Carolina 10, what are the candidates?","In North Carolina district 10, the candidates were Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,
1,test_chunk_10__1-2668336-17,hard-coded,Candiates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had what result?,Candidates Charles Fisher (DR) 65.1% and W. Jones (F) 34.9% resulted in the re-election of incumbent Charles Fisher in North Carolina district 10.,	Re-elected,TRUE,
1,test_chunk_10__1-2668336-17,hard-coded,The district North Carolina 10 have what candidates?,"In North Carolina district 10, the candidates were Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%. Charles Fisher was the incumbent, first elected in 1819 via a special election, and he was re-elected in this contest.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,
1,test_chunk_10__1-26609690-1,hard-coded,What is the smallest top 10 figure?,"Based on the provided text, the smallest top 10 figure is 0. The driver achieved 0 Top 10 finishes in the years 2003, 2007, and 2008. They achieved 1 Top 10 finish in 2010.",0,TRUE,
1,test_chunk_10__1-26609690-1,hard-coded,What is the earliest year on the chart?,"Based on the provided text, the earliest year on the chart is 2003. The data begins with the driver's performance in 2003 and continues through 2011.",2003,TRUE,
1,test_chunk_10__1-26609690-1,hard-coded,"Which team had $15,785 in winnings?","According to the provided text, RB1 Motorsports had $15,785 in winnings. This information is from the 2003 season data.",RB1 Motorsports,TRUE,
1,test_chunk_10__1-26609690-1,hard-coded,How many positions are there for RB1 Motorsports?,"Based on the provided text, the driver raced for RB1 Motorsports in 2003. Therefore, there is at least one position for RB1 Motorsports, as the driver participated in races for them.",1,TRUE,
1,test_chunk_10__1-26609690-1,hard-coded,What is the highest number of wins?,"The highest number of wins is 0. This is based on the provided data for all the years listed (2003, 2007, 2008, 2009, 2010, 2011), where the driver achieved 0 wins in each of those years.",0,TRUE,
1,test_chunk_10__1-26631526-1,hard-coded,Name the release date xbox 360 for sea wolf,"I am sorry, but the provided context does not mention ""Sea Wolf"" or its release dates on Xbox 360. Therefore, I don't know the answer to your question.","Mar.14,2010",FALSE,
1,test_chunk_10__1-2668243-20,hard-coded,What party was represented by incumbent Richard Coulter?,"According to the provided text, incumbent Richard Coulter was from the Jacksonian party. The text explicitly states: ""In Pennsylvania 17, incumbent Richard Coulter from the Jacksonian party, first elected in 1826, was re-elected.""",Jacksonian,TRUE,
1,test_chunk_10__1-2668336-19,md,Who were the incumbent(s) in the election featuring  john murray (dr) 50.4% george denison (dr) 49.6% with a result of a retired democratic-republican hold?,"The context states that this election was for ""Pennsylvania 10 Plural district with 2 seats"" and the result was a ""Retired Democratic-Republican hold."" The incumbents were William Wilson and John Murray.",William Wilson,FALSE,
1,test_chunk_10__1-2668336-19,md,Who were the incumbent(s) when the result was a retired democratic-republican hold and the first elected representative was in 1816>,This refers to the same election as in the previous question: Pennsylvania 10. The incumbents were William Wilson and John Murray.,Alexander Ogle,FALSE,
1,test_chunk_10__1-2668336-19,md,Who were the candidates in the election where william wilson was the incumbent?,William Wilson was the incumbent in the election for Pennsylvania 10. The candidates were John Murray (DR) and George Denison (DR).,John Murray (DR) 50.4% George Denison (DR) 49.6%,TRUE,
1,test_chunk_10__1-2668352-14,md,Name the result for pennsylvania 8,Re-elected,Re-selected,TRUE,
1,test_chunk_10__1-2668352-14,md,Name the result for 1810.,William Piper was re-elected.,William Piper,TRUE,
1,test_chunk_10__1-2668352-14,md,Name the district for hugh glasgow,Pennsylvania 4,Pennsylvania 4,TRUE,
1,test_chunk_10__1-2668352-14,md,Name the incumbent for lost re-election democratic-republican hold,Daniel Udree, Daniel Udree,TRUE,
1,test_chunk_10__1-2668352-14,md,Name the district for first elected 1810,Pennsylvania 8, Pennsylvania 8,TRUE,
1,test_chunk_10__1-2668352-19,md,What party does James Pleasants belong to?,"Based on the provided text, James Pleasants belongs to the Democratic-Republican party.",Democratic-Republican party,TRUE,
1,test_chunk_10__1-2655016-9,md,"What is the series # on airdate September 21, 2002?","The series number on airdate September 21, 2002, is 123.",123,TRUE,
1,test_chunk_10__1-2655016-9,md,"what is the series number of the ""harry bladder special""?","The series number of ""Harry Bladder Special"" is 131.",131,TRUE,
1,test_chunk_10__1-26565917-2,md,what was the name of episode 5?,"Episode 5 was titled ""Seven Seconds.""",Seven Seconds,TRUE,
1,test_chunk_10__1-26565917-2,md,when did 14.55 people watch?,"14.55 million viewers watched on October 10, 2007, for the episode titled ""Scared to Death.""","October 10, 2007",TRUE,
1,test_chunk_10__1-26593762-2,md,Who is the captain of Cardiff City?,Craig Bellamy is the captain of Cardiff City.,Craig Bellamy,TRUE,
1,test_chunk_10__1-26593762-2,md,How many kit makers are there for Louis Carey's team?,"Louis Carey plays for Bristol City, and they have one kit maker: adidas.",1,TRUE,
1,test_chunk_10__1-26593762-2,md,Who is the captain of Neil Warnock's team?,"Neil Warnock is the manager of Queens Park Rangers, and Adel Taarabt is their captain.",Adel Taarabt,TRUE,
1,test_chunk_10__1-26593762-2,md,Who is the captain of Dave Jones' team?,"Dave Jones is the manager of Cardiff City, and Craig Bellamy is their captain.",Craig Bellamy,TRUE,
1,test_chunk_10__1-26593762-2,md,Who is the chairman of Mark Robins team?,Patrick Cyrne is the chairman of Mark Robins' team (Barnsley).,Patrick Cyrne,TRUE,
1,test_chunk_10__1-2668243-8,md,What was the result for Henry Daniel's race?,"Henry Daniel, representing Kentucky 1, was re-elected. He received 66.6% of the vote compared to Micajah Harrison's 33.4%.",Re-elected,TRUE,
1,test_chunk_10__1-2668243-8,md,When was Henry Daniel first elected?,"According to the provided text, Henry Daniel was first elected in 1827.",1827,TRUE,
1,test_chunk_10__1-2668243-8,md,How many first elected years are provided for Thomas P. Moore?,The provided text states that Thomas P. Moore was first elected in 1822.,1,FALSE,
1,test_chunk_10__1-2668243-8,md,What district is Joseph Lecompte in office in?,Joseph Lecompte is in office in Kentucky 6.,Kentucky 6,TRUE,
1,test_chunk_10__1-2668264-22,md,What party does joel r. poinsett represent?,"According to the provided text, Joel R. Poinsett represented the Jackson Republican party. This is specifically stated in the table entry for South Carolina's 1st district, where he is listed as the incumbent representing that party.",Jackson Republican,TRUE,
1,test_chunk_10__1-2668264-22,md,What was the first elected year that featured incumbent andrew r. govan?,"According to the provided text, Andrew R. Govan was first elected in 1822 (special).",1822,TRUE,
1,test_chunk_10__1-2668336-17,md,In what district is the incumbent Charles Fisher?,Charles Fisher is the incumbent in North Carolina 10.,North Carolina 10,TRUE,
1,test_chunk_10__1-2668336-17,md,First elected in 1807 1817 in what district?,Lemuel Sawyer was first elected in North Carolina 1.,North Carolina 1,TRUE,
1,test_chunk_10__1-2668336-17,md,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% is for what incumbent?,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% are for the incumbent Charles Fisher.,Charles Fisher,TRUE,
1,test_chunk_10__1-2668336-17,md,"In district North Carolina 10, what are the candidates?","In North Carolina 10, the candidates are Charles Fisher (DR) and W. Jones (F). Charles Fisher received 65.1% of the vote, while W. Jones received 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,
1,test_chunk_10__1-2668336-17,md,Candiates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had what result?,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had a result of Charles Fisher being re-elected.,	Re-elected,TRUE,
1,test_chunk_10__1-2668336-17,md,The district North Carolina 10 have what candidates?,"In North Carolina 10, the candidates were Charles Fisher (DR) and W. Jones (F). Charles Fisher received 65.1% of the vote, while W. Jones received 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,
1,test_chunk_10__1-26609690-1,md,What is the smallest top 10 figure?,"According to the provided data, the smallest ""Top 10"" figure is 0, which appears in the years 2003, 2007, and 2008.",0,TRUE,
1,test_chunk_10__1-26609690-1,md,What is the earliest year on the chart?,"The earliest year on the chart is 2003. This is indicated in the first row of the table, which shows data for the year 2003.",2003,TRUE,
1,test_chunk_10__1-26609690-1,md,"Which team had $15,785 in winnings?","According to the provided data, RB1 Motorsports had $15,785 in winnings in the year 2003.",RB1 Motorsports,TRUE,
1,test_chunk_10__1-26609690-1,md,How many positions are there for RB1 Motorsports?,"Based on the provided data, RB1 Motorsports appears in only one year: 2003. Therefore, there is only **one** position listed for RB1 Motorsports.",1,TRUE,
1,test_chunk_10__1-26609690-1,md,What is the highest number of wins?,"Based on the provided context, the highest number of wins is 0. This is because every year listed shows a ""Wins"" value of 0.",0,TRUE,
1,test_chunk_10__1-26631526-1,md,Name the release date xbox 360 for sea wolf,"There appears to be a misunderstanding. There's no game called ""Sea Wolf"" for the Xbox 360. 

Perhaps you're thinking of a different game, or maybe the name is slightly different? Could you double-check the title?

If you can provide more details, I'll do my best to help!","Mar.14,2010",FALSE,
1,test_chunk_10__1-2668243-20,md,What party was represented by incumbent Richard Coulter?,Richard Coulter was a member of the **Democratic** party.,Jacksonian,FALSE,
12,test_chunk_10__1-2655016-9,html,"What is the series # on airdate September 21, 2002?","According to the provided data, the series number on airdate September 21, 2002, is 1. This corresponds to the episode titled ""Bumblefoot"".",123,FALSE,"test_chunk_10__1-2655016-9.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-2655016-9,html,"what is the series number of the ""harry bladder special""?","According to the provided data, the ""harry bladder special"" has a series number of 9. This information is found in the first provided text snippet, within the table of episodes.",131,FALSE,"test_chunk_10__1-2655016-9.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26565917-2,html,what was the name of episode 5?,"""Seven Seconds""",Seven Seconds,TRUE,"test_chunk_10__1-2655016-9.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26565917-2.html"
12,test_chunk_10__1-26565917-2,html,when did 14.55 people watch?,"This is a trick question! The provided text is a list of songs and their dates, not information about viewership numbers. There is no mention of ""14.55 people"" or any view count.

Therefore, the answer is: The text does not provide this information.","October 10, 2007",FALSE,"test_chunk_10__1-26565917-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,Who is the captain of Cardiff City?,Craig Bellamy is the captain of Cardiff City.,Craig Bellamy,TRUE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,How many kit makers are there for Louis Carey's team?,"This question cannot be answered from the provided text. The text lists songs and artists, but provides no information about kit makers or Louis Carey's team.",1,FALSE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,Who is the captain of Neil Warnock's team?,"According to the provided text, Neil Warnock is the manager of Queens Park Rangers, and Adel Taarabt is the team captain.",Adel Taarabt,TRUE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,Who is the captain of Dave Jones' team?,"According to the provided text, Craig Bellamy is the captain of Dave Jones' team.",Craig Bellamy,TRUE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,Who is the chairman of Mark Robins team?,"According to the provided text, Patrick Cyrne is the chairman of Mark Robins' team.",Patrick Cyrne,TRUE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-2668243-8,html,What was the result for Henry Daniel's race?,Henry Daniel was re-elected with 66.6% of the vote.,Re-elected,TRUE,"test_chunk_10__1-2668243-8.html, test_chunk_10__1-2668336-19.html, test_chunk_10__1-26609690-1.html"
12,test_chunk_10__1-2668243-8,html,When was Henry Daniel first elected?,"According to the provided text, Henry Daniel was first elected in 1827.",1827,TRUE,"test_chunk_10__1-2668243-8.html, test_chunk_10__1-2668336-19.html, test_chunk_10__1-2668352-14.html "
12,test_chunk_10__1-2668243-8,html,How many first elected years are provided for Thomas P. Moore?,"According to the provided text, Thomas P. Moore was first elected in 1822.",1,FALSE,"test_chunk_10__1-2668243-8.html, test_chunk_10__1-2668336-17.html, test_chunk_10__1-2668352-19.html"
12,test_chunk_10__1-2668243-8,html,What district is Joseph Lecompte in office in?,Joseph Lecompte is in office in Kentucky District 6.,Kentucky 6,TRUE,"test_chunk_10__1-2668243-8.html, test_chunk_10__1-2668243-20.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-2668264-22,html,What party does joel r. poinsett represent?,"According to the provided text, Joel R. Poinsett represents the Jackson Republican party. The text states ""District | Incumbent | Party | First elected | Result | Candidates ---|---|---|---|---|--- South Carolina 1 | Joel R. Poinsett | Jackson Republican | 1820 | Re-elected | Joel R. Poinsett (J) 58.2% Samuel Warren 41.8%"".",Jackson Republican,TRUE,"test_chunk_10__1-2668264-22.html, test_chunk_10__1-2668243-8.htm,  test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-2668264-22,html,What was the first elected year that featured incumbent andrew r. govan?,"According to the provided text, Andrew R. Govan was first elected in 1822 (special).",1822,TRUE,"test_chunk_10__1-2668264-22.html, test_chunk_10__1-2668243-20.html, test_chunk_10__1-2668352-14.html "
12,test_chunk_10__1-2668336-17,html,In what district is the incumbent Charles Fisher?,Charles Fisher is the incumbent in the 10th district.,North Carolina 10,TRUE,"test_chunk_10__1-2668336-17.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26565917-2.html"
12,test_chunk_10__1-2668336-17,html,First elected in 1807 1817 in what district?,Lemuel Sawyer was first elected in 1807 in the North Carolina 1 district.,North Carolina 1,TRUE,"test_chunk_10__1-2668336-17.html, test_chunk_10__1-2668336-19.html, test_chunk_10__1-2668243-20.html"
